rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
999,FA,154,Efina,Zowie EC2,"1,000",400,0.450,180,0.920,BenQ XL2546S,240,RTX 2080,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex M500,
999,FA,156,DaZeD,Logitech G Pro Wireless,"1,000",400,0.550,220,1.000,BenQ XL2540,240,GTX 1080,1920x1080,HyperX FURY S Pro X-Large,Razer BlackWidow TE,Sennheiser HD 600
49,T1,157,sayaplayer,Logitech G Pro Gaming Mouse,"1,000","1,000",0.339,339,1.000,BenQ XL2546K,240,RTX 2080,1920x1080,Esports Tiger LongTeng SE,Leopold FC750R,HyperX Cloud II Wireless
55,Giants,158,nukkye,Logitech G Pro X Superlight,"1,000","1,600",0.175,280,1.000,AOC AG251FZ2E,240,RTX 2080 Super,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
100,MIBR,160,frz,Logitech G Pro Wireless,"1,000",800,0.300,240,1.000,Alienware AW2518HF,240,RTX 2070 Super,1920x1080,VAXEE PA ZYGEN,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
43,Sentinels,162,pANcada,VAXEE XE Pink,"1,000",800,0.280,224,1.000,BenQ XL2546,240,GTX 1060,1440x1080,VAXEE PA FunSpark,Logitech G915 TKL,HyperX Cloud II
999,FA,163,jonba,Zowie FK1+,"1,000",400,0.600,240,1.000,BenQ XL2540,240,GTX 1070,1920x1080,Zowie G-SR-SE,HyperX Alloy FPS Pro,HyperX Cloud Alpha
999,FA,164,Yurii,Logitech G Pro Wireless,"1,000",400,0.550,220,1.000,,,RTX 2080 Super,,,,
3,NRG Esports,165,FNS,Logitech G Pro Wireless,"1,000",400,0.550,220,1.000,BenQ XL2546,240,RTX 3090,1920x1080,Artisan FX Zero Soft,Razer BlackWidow V3 Pro,Razer BlackShark V2
999,FA,166,WeDid,Logitech G703,"1,000","1,600",0.180,288,1.000,Acer XB240H,240,RTX 2080,1920x1080,,Razer BlackWidow Chroma V2,Logitech G432
13,Liquid,167,Sayf,Logitech G Pro X Superlight,"1,000",400,0.500,200,1.300,ASUS ROG Swift PG259QN,240,RTX 3080,1280x1024,Lethal Gaming Gear Saturn,HyperX Alloy Origins 60,HyperX Cloud II
109,Resonate,168,insky,FinalMouse Ultralight 2,"1,000",400,0.585,234,1.000,BenQ XL2546,240,GTX 1080,1366x768,SteelSeries QcK+,SteelSeries Apex Pro TKL,SteelSeries Arctis Pro Wireless
999,FA,169,Kongared,Zowie EC2-B,"1,000",400,0.390,156,1.000,BenQ XL2546,240,GTX 1070,1920x1080,Razer Gigantus,Razer BlackWidow Chroma TE V2,HyperX Cloud II
32,Full Sense,170,PTC,Logitech G Pro X Superlight,"1,000",800,0.380,304,1.000,BenQ XL2546,240,RTX 3070,1920x1080,Logitech G640,HyperX Alloy FPS,Logitech G Pro X Headset
999,FA,172,wannafly,Zowie FK1+,"1,000",800,0.350,280,1.000,BenQ XL2546,240,RTX 2070 Super,1920x1080,Zowie G-SR,Zowie Celeritas II,Beyerdynamic MMX300
999,FA,173,Acetis,Zowie FK2,"1,000",800,0.650,520,1.000,BenQ XL2546,240,GTX 1070 Ti,1920x1080,,,
5,Fnatic,174,Chronicle,Logitech G Pro X Superlight,"1,000",400,0.600,240,1.250,ASUS TUF VG279QM,240,,1920x1080,Zowie G-SR-SE,Anne Pro 2,Logitech G Pro X Wireless Headset
999,FA,175,d3ffo,Zowie FK1+B,"1,000",800,0.510,408,1.000,BenQ XL2546,240,GTX 970,1280x960,VAXEE PA,Logitech G Pro Mechanical Keyboard,Sennheiser GAME ZERO
42,M3C,176,Sheydos,Logitech G Pro X Superlight White,"1,000",400,0.810,324,1.100,BenQ XL2546K,240,RTX 2080 Super,1280*960,Zowie G-SR-SE,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
999,FA,177,Sunset,FinalMouse Ultralight 2,500,800,0.500,400,1.000,BenQ XL2420Z,144,RTX 2080 Super,1920x1080,Logitech G440,Vortex Pok3r White,Sennheiser GSP 370
13,Liquid,178,nAts,Zowie S2,"1,000",800,0.490,392,1.000,BenQ XL2546K,240,RTX 2060 Super,1280x960,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud Alpha S
999,FA,179,MkaeL,Razer DeathAdder V2 Pro,"1,000",800,0.300,240,1.000,,,GTX 1080 Ti,1920x1080,,Ducky One 2 Mini RGB,Logitech G Pro X
999,FA,180,patochovsk,Razer DeathAdder V2,"1,000",400,0.600,240,1.000,AOC AG251FZ,240,GTX 1660 Ti,1920x1080,HyperX FURY S Pro,Razer BlackWidow Chroma TE V2,GFallen Morcego
999,FA,181,FLG1,Glorious Model D Matte Black,"1,000",400,0.570,228,1.000,AOC AG251FZ,240,RTX 2060,1440x1080,Zowie G-SR,HyperX Alloy Origins Core,GFallen Morcego
999,FA,182,GTFAFMX,Razer DeathAdder Elite,"1,000",800,0.900,720,1.000,AOC AG251FZ,240,GTX 1080 Ti,1920x1080,Artisan Hayate Otsu,Corsair K70 Rapidfire,Sennheiser PC 363D
110,Unicorns of Love,183,nico,Logitech G Pro Wireless,"1,000",400,0.404,161,1.000,Alienware AW2518H,240,RTX 2080 Super,1280x1024,Glorious 3XL,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
999,FA,184,murii,G-Wolves Hati Black,"1,000",600,0.100,60,1.000,ASUS ROG Strix XG248Q,240,RTX 2070 Super,1798x1080,Glorious 3XL,Ducky MIYA Pro Sakura,Logitech G430
999,FA,185,Zik,Razer Viper Mini,"1,000",400,0.628,251,1.000,BenQ XL2546,240,,1600x1024,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro
33,NRG Esports (B),187,s0m,Logitech G Pro X Superlight White,"1,000",400,0.800,320,1.100,BenQ XL2546,240,RTX 3080,1920x1080,SteelSeries QcK Large,Razer Huntsman TE,HyperX Cloud II
999,FA,189,ShoT_UP,Logitech G502 Proteus Spectrum,"1,000",850,0.311,264,1.000,BenQ XL2411,144,,1920x1080,SteelSeries QcK Heavy,Razer BlackWidow Ultimate,HyperX Cloud II
37,Cloud9 Blue (B),190,mitch,Zowie EC2-B Divina Edition,"1,000",800,0.280,224,1.000,BenQ XL2540,240,RTX 2080 Super,1920x1080,HyperX FURY S Pro,Ducky One 2 Mini RGB,HyperX Cloud Alpha
33,NRG Esports (B),193,ANDROID,Zowie FK2,"1,000",800,0.350,280,1.000,BenQ XL2546,240,RTX 2080,1920x1080,Razer Gigantus,Logitech G915,HyperX Cloud II
47,Heretics,194,lowel,Razer DeathAdder V3 Pro,"1,000",400,0.566,226,1.000,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR DG,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
47,Heretics,195,Zeek,Logitech G Pro X Superlight,"1,000",800,0.370,296,1.000,BenQ XL2540,240,RTX 2060,1280x960,Artisan Hien FX Soft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,196,Anaks,Razer Viper Ultimate,"1,000",400,0.295,118,1.010,,,GTX 1080 Ti,1920x1080,Zowie G-SR,Logitech G Pro Mechanical Keyboard,
"1,000",Streamer,197,n0ted,FinalMouse Ultralight 2,500,800,0.471,376,1.000,BenQ XL2546,240,,1920x1080,The Mousepad Company,SteelSeries Apex Pro,
999,FA,198,Ladiff,Logitech G Pro X Superlight Black,"1,000",800,0.500,400,1.000,BenQ XL2411,144,RTX 2070 Super,1440x1080,HyperX FURY S Pro SE X-Large,CM MasterKeys Pro L,HyperX Cloud Alpha S
13,Liquid,199,Jamppi,VAXEE OUTSET AX Yellow,"1,000",800,0.420,336,1.009,ASUS ROG XG258Q,240,RTX 2080 Ti,1440x1080,VAXEE PA,Razer Huntsman Mini,HyperX Cloud II
14,EG,200,Ethan,Xtrfy M4 Wireless,"1,000",400,0.730,292,0.914,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Razer Gigantus,Razer BlackWidow Lite,HyperX Cloud II
999,FA,201,curry,Logitech G Pro X Superlight,"1,000",800,0.375,300,1.000,BenQ XL2540,240,RTX 2080 Super,1280x960,Artisan FX Zero XSoft,Ducky One 2 TKL RGB,Logitech G Pro X Wireless Headset
"1,000",Retired,202,YaBoiDre,Logitech G Pro Wireless,"1,000",800,0.314,251,1.000,Alienware AW2518H,240,GTX 1080 Ti,1920x1080,HyperX FURY S Speed Edition,Logitech G Pro Mechanical Keyboard,Bose QC20
38,100T,203,stellar,Logitech G Pro Wireless,"1,000",800,0.250,200,1.000,BenQ XL2546,240,RTX 3070,1280x960,Zowie G-SR,Ducky One 3 TKL Matcha,HyperX Cloud II
58,Shopify Rebellion,204,moose,Logitech G Pro X Superlight,"1,000",800,0.330,264,1.000,BenQ XL2546,240,GTX 1080,1920x1080,Logitech G640,CM MasterKeys Pro S,HyperX Cloud II
999,FA,205,Kehmicals,Logitech G Pro X Superlight Black,"1,000",800,0.380,304,1.000,BenQ XL2546S,240,GTX 1070,1920x1080,HyperX FURY S Pro X-Large,Logitech G Pro X Mechanical Keyboard,HyperX Cloud II
14,EG,206,BCJ,Glorious Model D-,"1,000",800,0.370,296,1.000,ASUS ROG Swift PG279Q,240,RTX 3070 Ti,1440x1080,Zowie G-SR-SE Rouge,Varmilo VA87M,Sennheiser G4ME ONE
999,FA,207,RUBINO,VAXEE ZYGEN NP-01,"1,000",400,0.620,248,1.000,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Artisan FX Zero XSoft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
1,NaVi,208,cNed,Zowie ZA12,"1,000",800,0.320,256,1.000,BenQ XL2546K,240,RTX 3080,1920x1080,SteelSeries QcK Heavy,Xtrfy K4-RGB TKL,HyperX Cloud II
33,NRG Esports (B),209,tex,Logitech G Pro X Superlight Black,"1,000",800,0.380,304,,ASUS VG248QE,144,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
127,NRG Esports (S),210,Ethos,Razer DeathAdder V3 Pro,"1,000",400,0.690,276,0.690,BenQ XL2546,240,RTX 3090,1920x1080,VAXEE PA,Custom Keyboard,HyperX Cloud II
999,FA,211,Poiz,Logitech G Pro X Superlight,"1,000",800,0.450,360,1.000,BenQ XL2546,240,,1920x1080,HyperX FURY S Pro,,
20,G2 (B),212,AvovA,Logitech G Pro X Superlight Black,"1,000",800,0.330,264,1.000,BenQ XL2546,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
47,Heretics (B),213,pAura,Zowie S2,"1,000",400,0.550,220,1.000,BenQ XL2546,240,RTX 2060 Super,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS Pro,Logitech G Pro X Wireless Headset
999,FA,214,dimasick,Logitech G Pro X Superlight Black,"1,000",400,0.750,300,1.000,BenQ XL2546,240,RTX 2080 Super,1280x960,Artisan Zero,HyperX Alloy Origins,HyperX Cloud Alpha
999,FA,216,sutecas,Razer Viper Ultimate,"1,000",800,0.400,320,0.800,BenQ XL2546,240,RTX 2070,1920x1080,VAXEE PA Winter 21,Corsair K70 RGB MK.2,HyperX Cloud Alpha
6,LOUD,217,Saadhak,Logitech G Pro X Superlight Magenta,"1,000",800,0.240,192,1.000,Alienware AW2518H,240,RTX 2080,1920x1080,Artisan Hayate Otsu,Logitech G915 TKL,HyperX Cloud II
43,Sentinels,218,Sacy,Logitech G Pro X Superlight White,"1,000",800,0.480,384,1.000,BenQ XL2546,240,RTX 2060,1920x1080,VAXEE PA Summer22,Logitech G915,Logitech G Pro X Headset
49,T1,219,xeta,Logitech G Pro X Superlight Black,"1,000",400,0.580,232,0.850,BenQ XL2546,240,,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS Pro,Sennheiser GAME ZERO
999,FA,220,Shawn,Logitech G305,"1,000","1,200",0.400,480,1.000,BenQ XL2540K,240,RTX 3070 Ti,1920x1080,Zowie G-SR,Razer Huntsman Mini,Corsair VOID
999,FA,222,NaturE,Logitech G Pro X Superlight Black,"1,000",800,0.508,406,0.680,,,,1920x1080,HyperX FURY S Pro,Logitech G815,HyperX Cloud II
1,NaVi,223,Suygetsu,Logitech G Pro X Superlight Black,"1,000",800,0.250,200,1.100,BenQ XL2411,144,GTX 1070,1920x1080,Artisan Zero XSoft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,224,Ex6TenZ,Zowie FK2,"1,000",400,0.691,276,1.000,AOC AG251FZ,240,GTX 1080 Ti,1440x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro Gaming Headset
5,Fnatic,225,Derke,Logitech G Pro X Superlight Black,"1,000",400,0.740,296,1.000,BenQ XL2540,240,RTX 2070 Super,1920x1080,Logitech G640,Fnatic Streak65,Logitech G Pro X Headset
92,DetonatioN Gaming,226,Seoldam,Logitech G Pro X Superlight Black,"1,000",800,0.485,388,1.000,BenQ XL2546,240,,1920x1080,Xraypad Aqua Control+,Deck Francium 87 Pro,Corsair VOID Pro Wireless
82,FURIA,227,mwzera,Xtrfy MZ1 Wireless,"1,000",800,0.300,240,0.890,BenQ XL2546K,240,RTX 3060,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,GFallen Morcego
37,Cloud9 Blue,228,vanity,Logitech G Pro X Superlight Black,"1,000","1,600",0.141,225,1.100,BenQ XL2546,240,RTX 2070,1920x1080,Logitech G640,HyperX Alloy FPS,HyperX Cloud II
46,Version 1 (B),229,effys,Logitech G Pro X Superlight,"1,000",400,0.450,180,1.000,BenQ XL2546K,240,GTX 1080 Ti,1920x1080,Logitech G640,Razer Huntsman Mini,HyperX Cloud II Wireless
37,Cloud9 Blue,230,zellsis,Logitech G Pro X Superlight,"1,000",800,0.235,188,0.820,BenQ XL2546,240,GTX 1080,1920x1080,Zowie G-SR-SE Rouge,Gamesense Clutch,Sennheiser GAME ZERO
46,Version 1 (B),231,wippie,Logitech G Pro X Superlight Magenta,"1,000",800,1.572,"1,257",0.948,BenQ XL2546K,240,RTX 2070 Super,1024x768,Artisan FX Zero XSoft,HyperX Alloy Origins,Logitech G Pro X Wireless Headset
46,Version 1 (B),232,penny,Logitech G Pro X Superlight White,"1,000",800,0.408,326,,,,,,HyperX FURY,HyperX Alloy Elite,HyperX Cloud Earbuds
999,FA,233,Magnum,Logitech G Pro Wireless,"1,000",400,0.500,200,1.227,Samsung C24RG50,144,RTX 2060,1280x1024,SteelSeries QcK+,Fnatic MiniSTREAK,Logitech G Pro Gaming Headset
5,Fnatic,234,Boaster,Logitech G Pro X Superlight,"1,000",400,0.520,208,1.000,BenQ XL2546,240,RX 6900 XT,1920x1080,HyperX FURY S Pro,Fnatic MiniSTREAK,Logitech G Pro X Headset
111,MAD Lions (B),235,Doma,Razer DeathAdder V3 Pro,"1,000",800,0.350,280,0.750,BenQ XL2546,240,RTX 2080 Super,1920x1080,VAXEE PA,Razer BlackWidow,Logitech G Pro X Headset
999,FA,236,Mistic,VAXEE ZYGEN NP-01,"1,000",400,0.580,232,0.875,BenQ XL2546,240,,1920x1080,Zowie G-SR,Fnatic MiniSTREAK,Fnatic REACT
85,BBL,237,aimdll,Zowie S2 Divina Edition,"1,000",400,0.531,212,1.000,ASUS VG259QM,240,RTX 2060 Super,1280x960,Zowie G-SR,Razer BlackWidow Elite,HyperX Cloud II
39,On Sla2ers (C),238,Peri,Glorious Model D,"1,000",400,0.525,210,0.800,BenQ XL2540,240,RTX 2080 Super,1920x1080,Razer Goliathus Control,Deck Francium Lite,
37,Cloud9 Blue,240,leaf,Logitech G Pro X Superlight White,"1,000",800,0.230,183,1.000,BenQ XL2546,240,RTX 3080,1280x960,Logitech G640,HyperX Alloy Origins Core,Sennheiser GAME ZERO
"1,000",Streamer,242,Horcus,Razer Viper Ultimate,"1,000",800,0.315,252,1.000,BenQ XL2546,240,RTX 2060,1920x1080,Aorus AMP500,Razer Huntsman Elite,HyperX Cloud II
999,FA,243,jammyz,FinalMouse Ultralight 2,"1,000",800,0.340,272,1.150,Alienware AW2518H,240,RTX 3060,,Zowie G-SR,Corsair K70 TKL,HyperX Cloud II
31,DWG KIA (L),244,Lakia,Zowie EC3-C,"1,000",800,0.333,266,1.000,BenQ XL2546,240,RTX 2080 Super,1920x1080,SteelSeries QcK Heavy,Razer Huntsman TE,HyperX Cloud Alpha
43,Sentinels (S),246,Tarik,Razer DeathAdder V3 Pro White,500,800,0.471,376,1.000,BenQ XL2546,144,RTX 3080 Ti,1680x1050,Lethal Gaming Gear Saturn Pro,Logitech G Pro Mechanical Keyboard,Beyerdynamic DT 990 Pro
92,DetonatioN Gaming,247,Suggest,Logitech G Pro X Superlight Magenta,"1,000",400,0.700,280,1.000,Alienware AW2518H,240,RTX 2080 Ti,1280x960,Xten Mousepad (Custom),Logitech G913,Logitech G Pro X Headset
7,Guild,248,koldamenta,Razer DeathAdder V3 Pro White,"1,000",800,0.300,240,1.000,ASUS ROG XG258Q,240,RTX 2080,1440x900,Logitech G640,Logitech G512,Logitech G Pro X Headset
95,REJECT,249,Zepher,Logitech G403,"1,000",400,0.550,220,1.000,BenQ XL2540,240,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
999,FA,250,Allow,Logitech G Pro Wireless,"1,000",800,0.234,187,1.000,BenQ XL2546,240,GTX 1080,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
12,Talon,251,foxz,FinalMouse Ultralight 2,"1,000",800,0.485,388,1.000,BenQ XL2546K,240,,1920x1080,Logitech G640,Xtrfy K4-RGB TKL,Logitech G Pro X
57,MOUZ,252,al0rante,Razer Viper V2 Pro,"1,000",400,0.350,140,1.000,BenQ XL2546,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,HyperX Cloud II
36,Acend (B),253,MONSTEERR,Logitech G Pro Wireless,"1,000",800,0.400,320,1.000,AOC G2460PF,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X Headset
47,Heretics,254,keloqz,Logitech G Pro X Superlight,"1,000",400,0.440,176,1.000,BenQ XL2546K,240,GTX 1060,1920x1080,Logitech G640,,Logitech G Pro X Wireless Headset
38,100T (L),255,bang,Logitech G Pro X Superlight,"1,000",800,0.320,256,1.000,ASUS VG248QE,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X
999,FA,256,BabyJ,Zowie EC2-A,"1,000",400,0.450,180,1.000,BenQ XL2546,240,RTX 3070,1920x1080,,,HyperX Cloud II
90,ORDER,257,Texta,Logitech G Pro Wired,"1,000",400,0.700,280,1.000,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
90,ORDER,259,Disk0,Logitech G Pro X Superlight Black,"1,000",400,0.525,210,1.000,Alienware AW2720HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
37,Cloud9 Blue (C),260,Autumn,Logitech G Pro X Superlight Black,"1,000",800,0.320,256,1.000,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
85,BBL,263,AsLanMashadoVV,Xtrfy M42,"1,000",400,0.600,240,0.900,BenQ XL2546,240,RTX 2070,1280x960,SteelSeries QcK Large Cyberpunk Edition,Razer BlackWidow X Chroma ME,HyperX Cloud II
999,FA,264,seb,Xtrfy M4 Blue,"1,000",400,0.383,153,0.900,BenQ XL2540K,240,RTX 2080 Super,1920x1080,Artisan Zero (XL/Soft),SteelSeries Apex Pro TKL,Sennheiser G4ME ONE
31,DWG KIA,265,t3xture,Logitech G Pro X Superlight,"1,000",800,0.450,360,1.000,LG 27GN750,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Logitech G Pro Mechanical Keyboard,Logitech G Pro X Headset
82,FURIA,266,qck,Razer Viper Ultimate,"1,000",400,0.740,296,1.000,BenQ XL2546,240,RTX 2070 Super,1920x1080,Esports Tiger Neon,HyperX Alloy Origins 60,HyperX Cloud II
999,FA,267,Zunba,Logitech G Pro X Superlight White,"1,000",800,0.250,200,1.000,BenQ XL2546K,240,RTX 2080 Ti,1920x1080,Xraypad Aqua Control,Logitech G913 TKL,Audeze LCD-GX
31,DWG KIA,268,exy,Logitech G Pro X Superlight,"1,000",400,0.503,201,1.000,BenQ XL2546K,240,,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,Logitech G533
999,FA,269,Bunny,SteelSeries Prime Wireless,"1,000",800,0.375,300,1.000,BenQ XL2546K,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,Mars Pro MK3,OC-G9 Mk2
999,FA,270,FiveK,Logitech G Pro X Superlight,"1,000",400,0.550,220,1.000,BenQ XL2546K,240,,1920x1080,Zowie G-SR,Mars Pro MK3,OC-G9 Mk2
60,SMB,271,glovee,Xtrfy M42,"1,000",400,0.525,210,1.000,BenQ XL2546,240,RTX 3060,1024x768,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
116,Kalafar Esports,272,Unity,Zowie EC2-B,"1,000",800,0.291,232,1.000,BenQ XL2546K,240,GTX 1060,1920x1080,Zowie G-SR-SE,HyperX Alloy FPS,HyperX Cloud II
60,SMB,273,Brave,Logitech G Pro Wireless,"1,000",400,0.850,340,1.000,BenQ XL2546K,240,,1920x1080,Logitech G640,HyperX Alloy FPS,Logitech G Pro X Headset
36,Acend (B),274,starxo,Logitech G Pro X Superlight,"1,000",800,0.485,388,1.000,ASUS ROG Strix XG248Q,240,RTX 2070 Super,1280x1024,Xtrfy GP4,Logitech G Pro Mechanical Keyboard,HyperX Cloud II
999,FA,275,russ,VAXEE OUTSET AX Glossy,"1,000",800,0.500,400,1.000,ASUS VG259QM,240,,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
85,BBL,276,Turko,Logitech G Pro X Superlight,"1,000",400,0.600,240,1.000,,,,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud II
60,SMB,277,Izzy,Logitech G Pro X Superlight,"1,000",400,0.560,224,0.852,BenQ XL2546,240,,1920x1080,,Corsair K70 LUX,HyperX Cloud II
107,ENTER FORCE 36,278,iNTRO,Logitech G Pro X Superlight,"1,000",400,0.377,150,1.000,BenQ XL2546K,240,RTX 2080,1920x1080,Zowie G-SR,Corsair K65,Sennheiser GSP 600
37,Cloud9 Blue,279,yay,Logitech G Pro X Superlight Black,"1,000",800,0.270,216,1.000,BenQ XL2546,240,RTX 3090,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,Razer BlackShark V2
10,NORTHEPTION (B),280,Meteor,Logitech G Pro X Superlight,"1,000",800,0.300,240,1.000,BenQ XL2546S,240,,1920x1080,Artisan Hayate Otsu,COX CK87,HyperX Cloud II
999,FA,281,TS,Logitech G703,"1,000",400,0.583,233,1.000,ASUS ROG XG258Q,240,,1920x1080,PULSAR ParaBreak XL,Logitech G913 TKL,Logitech G Pro X Headset
26,Keyd,282,heat,Logitech G Pro X Superlight Black,"1,000",800,0.400,320,1.000,Alienware AW2521HF,240,GTX 1660 Ti,1728x1080,SteelSeries QcK Heavy,Logitech G Pro Mechanical Keyboard,HyperX Cloud Alpha
2,Paper Rex,283,f0rsakeN,Logitech G Pro X Superlight,"1,000",800,0.650,520,1.000,BenQ XL2546K,240,GALAX GTX 1080 Ti,1920x1080,Logitech G740,HyperX Alloy Origins Core,HyperX Cloud II
4,DRX,284,BuZz,Zowie S2,"1,000",400,0.570,228,0.800,BenQ XL2546K,240,,1280x960,Xraypad Aqua Control+,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
4,DRX,285,MaKo,Razer DeathAdder V3 Pro,"1,000",400,0.550,220,1.000,BenQ XL2546S,240,,1920x1080,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro
13,Liquid,286,Redgar,Logitech G Pro X Superlight,"1,000",800,0.700,560,1.000,BenQ XL2546K,240,RTX 3080,1920x1080,Zowie G-SR-SE Deep Blue,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
16,Bleed eSports,287,sScary,Logitech G Pro X Superlight,"1,000",800,0.360,288,1.100,BenQ XL2546K,240,RTX 3070,1920x1080,Logitech G640,Xtrfy K4-RGB TKL,HyperX Cloud Alpha S
12,Talon,288,sushiboys,Logitech G Pro X Superlight Magenta,"1,000",800,0.370,296,0.900,BenQ XL2546K,240,,1920x1080,Zowie G-SR,Glorious GMMK Pro,Logitech G Pro X Headset
12,Talon,289,Crws,Logitech G Pro X Superlight,"1,000","1,600",0.150,240,1.000,BenQ XL2546K,240,RTX 3070,1280x960,Zowie G-SR,Custom Tofu Build (Novelkeys Cream),Razer BlackShark V2 Pro
999,FA,290,b0i,Logitech G303 Shroud Edition,"1,000","1,600",0.455,728,1.000,BenQ XL2540,240,,1920x1080,VAXEE PA,Ducky One 2 RGB,HyperX Cloud II
28,Karmine Corp,291,Nivera,Razer DeathAdder V3 Pro,500,800,0.173,138,1.000,Alienware AW2521H,360,RTX 3080,1280x960,SteelSeries QcK Heavy,Corsair K70 RGB MK.2,Logitech G Pro X Headset
2,Paper Rex,292,d4v41,Logitech G Pro X Superlight,"1,000",900,0.460,414,1.000,BenQ XL2546,240,GTX 1080 Ti,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,Razer HammerHead Pro V2
45,TSM,293,Seven,Logitech G Pro X Superlight,"1,000","1,600",0.250,400,1.000,BenQ XL2546K,240,,1920x1080,Artisan Hien FX Soft,,
82,FURIA,294,nzr,Logitech G Pro X Superlight Black,"1,000",800,0.450,360,1.000,AOC G2460PF,144,,1920x1080,VAXEE PA Winter 21,HyperX Alloy FPS,HyperX Cloud II
102,FAV Gaming,295,Fisker,Logitech G Pro X Superlight Black,"1,000",400,0.440,176,1.000,Alienware AW2521H,240,,1920x1080,Zowie G-SR,SteelSeries Apex Pro,JBL Quantum ONE
999,FA,296,Kiles,Logitech G Pro X Superlight Black,"1,000",800,0.431,344,1.000,BenQ XL2540,240,RTX 2080,1280x960,VAXEE PA ZYGEN,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
15,Team Secret,297,dispenser,VAXEE ZYGEN NP-01,"1,000",450,0.440,198,0.000,BenQ XL2546,240,,1280x1024,Corsair MM350 Champion Series,SteelSeries Apex Pro TKL,
91,Vitality,298,BONECOLD,Razer DeathAdder V3 Pro,"1,000",800,0.270,216,1.000,BenQ XL2540,240,RTX 3060,1280x960,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Sennheiser GAME ZERO
15,Team Secret,299,JessieVash,Glorious Model D Wireless,"1,000",800,0.400,320,0.900,BenQ XL2546K,240,RTX 2060 Super,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,
15,Team Secret,300,DubsteP,Logitech G Pro X Superlight,"1,000",800,0.385,308,1.100,BenQ XL2546K,240,,1280 x 960,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 Wireless
15,Team Secret,301,BORKUM,VAXEE ZYGEN NP-01S,"1,000",400,0.650,260,0.900,BenQ XL2546K,240,GTX 1060,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 Wireless
15,Team Secret,302,witz,VAXEE OUTSET AX,"1,000",800,0.410,328,,BenQ XL2546K,240,,,Corsair MM350 Champion Series,Corsair K70 RGB TKL,
